date,iso_code,nuts2,name,supplier,vaccinated
2021-01-21,ES-MC,ES62,Murcia,Pfizer/BioNTech,1784
2021-01-21,ES-NC,ES22,Navarra,Pfizer/BioNTech,767
2021-01-21,ES-PV,ES21,País Vasco,Pfizer/BioNTech,1333
2021-01-21,ES-CE,ES63,Ceuta,Pfizer/BioNTech,326
2021-01-21,ES-ML,ES64,Melilla,Pfizer/BioNTech,203
2021-01-22,ES-AN,ES61,Andalucía,Pfizer/BioNTech,20846
2021-01-22,ES-AR,ES24,Aragón,Pfizer/BioNTech,2165
2021-01-22,ES-AS,ES12,Asturias,Pfizer/BioNTech,6851
2021-01-22,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,2660
2021-01-22,ES-CN,ES70,Canarias,Pfizer/BioNTech,2865
2021-01-22,ES-CB,ES13,Cantabria,Pfizer/BioNTech,241
2021-01-22,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,6060
2021-01-22,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,1593
2021-01-22,ES-CT,ES51,Cataluña,Pfizer/BioNTech,4101
2021-01-22,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,4139
2021-01-22,ES-EX,ES43,Extremadura,Pfizer/BioNTech,638
2021-01-22,ES-GA,ES11,Galicia,Pfizer/BioNTech,7204
2021-01-22,ES-RI,ES23,La Rioja,Pfizer/BioNTech,317
2021-01-22,ES-MD,ES30,Madrid,Pfizer/BioNTech,2263
2021-01-22,ES-MC,ES62,Murcia,Pfizer/BioNTech,2086
2021-01-22,ES-NC,ES22,Navarra,Pfizer/BioNTech,807
2021-01-22,ES-PV,ES21,País Vasco,Pfizer/BioNTech,3044
2021-01-22,ES-CE,ES63,Ceuta,Pfizer/BioNTech,373
2021-01-22,ES-ML,ES64,Melilla,Pfizer/BioNTech,203
2021-01-25,ES-AN,ES61,Andalucía,Pfizer/BioNTech,25516
2021-01-25,ES-AR,ES24,Aragón,Pfizer/BioNTech,2222
2021-01-25,ES-AS,ES12,Asturias,Pfizer/BioNTech,9030
2021-01-25,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,2713
2021-01-25,ES-CN,ES70,Canarias,Pfizer/BioNTech,3993
2021-01-25,ES-CB,ES13,Cantabria,Pfizer/BioNTech,241
2021-01-25,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,9593
2021-01-25,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,2008
2021-01-25,ES-CT,ES51,Cataluña,Pfizer/BioNTech,7472
2021-01-25,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,4532
2021-01-25,ES-EX,ES43,Extremadura,Pfizer/BioNTech,638
2021-01-25,ES-GA,ES11,Galicia,Pfizer/BioNTech,8602
2021-01-25,ES-RI,ES23,La Rioja,Pfizer/BioNTech,317
2021-01-25,ES-MD,ES30,Madrid,Pfizer/BioNTech,2634
2021-01-25,ES-MC,ES62,Murcia,Pfizer/BioNTech,4447
2021-01-25,ES-NC,ES22,Navarra,Pfizer/BioNTech,809
2021-01-25,ES-PV,ES21,País Vasco,Pfizer/BioNTech,3355
2021-01-25,ES-CE,ES63,Ceuta,Pfizer/BioNTech,373
2021-01-25,ES-ML,ES64,Melilla,Pfizer/BioNTech,203
2021-01-26,ES-AN,ES61,Andalucía,Pfizer/BioNTech,37978
2021-01-26,ES-AR,ES24,Aragón,Pfizer/BioNTech,2945
2021-01-26,ES-AS,ES12,Asturias,Pfizer/BioNTech,10694
2021-01-26,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,2879
2021-01-26,ES-CN,ES70,Canarias,Pfizer/BioNTech,5149
2021-01-26,ES-CB,ES13,Cantabria,Pfizer/BioNTech,300
2021-01-26,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,13245
2021-01-26,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,3623
2021-01-26,ES-CT,ES51,Cataluña,Pfizer/BioNTech,9620
2021-01-26,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,5393
2021-01-26,ES-EX,ES43,Extremadura,Pfizer/BioNTech,1721
2021-01-26,ES-GA,ES11,Galicia,Pfizer/BioNTech,12042
2021-01-26,ES-RI,ES23,La Rioja,Pfizer/BioNTech,455
2021-01-26,ES-MD,ES30,Madrid,Pfizer/BioNTech,4073
2021-01-26,ES-MC,ES62,Murcia,Pfizer/BioNTech,5829
2021-01-26,ES-NC,ES22,Navarra,Pfizer/BioNTech,1757
2021-01-26,ES-PV,ES21,País Vasco,Pfizer/BioNTech,5159
2021-01-26,ES-CE,ES63,Ceuta,Pfizer/BioNTech,503
2021-01-26,ES-ML,ES64,Melilla,Pfizer/BioNTech,332
2021-01-27,ES-AN,ES61,Andalucía,Pfizer/BioNTech,50951
2021-01-27,ES-AR,ES24,Aragón,Pfizer/BioNTech,5860
2021-01-27,ES-AS,ES12,Asturias,Pfizer/BioNTech,13727
2021-01-27,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,3114
2021-01-27,ES-CN,ES70,Canarias,Pfizer/BioNTech,6434
2021-01-27,ES-CB,ES13,Cantabria,Pfizer/BioNTech,300
2021-01-27,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,18756
2021-01-27,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,6982
2021-01-27,ES-CT,ES51,Cataluña,Pfizer/BioNTech,18426
2021-01-27,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,7304
2021-01-27,ES-EX,ES43,Extremadura,Pfizer/BioNTech,3134
2021-01-27,ES-GA,ES11,Galicia,Pfizer/BioNTech,14235
2021-01-27,ES-RI,ES23,La Rioja,Pfizer/BioNTech,684
2021-01-27,ES-MD,ES30,Madrid,Pfizer/BioNTech,5611
2021-01-27,ES-MC,ES62,Murcia,Pfizer/BioNTech,7453
2021-01-27,ES-NC,ES22,Navarra,Pfizer/BioNTech,2541
2021-01-27,ES-PV,ES21,País Vasco,Pfizer/BioNTech,6637
2021-01-27,ES-CE,ES63,Ceuta,Pfizer/BioNTech,503
2021-01-27,ES-ML,ES64,Melilla,Pfizer/BioNTech,414
2021-01-28,ES-AN,ES61,Andalucía,Pfizer/BioNTech,55004
2021-01-28,ES-AR,ES24,Aragón,Pfizer/BioNTech,6806
2021-01-28,ES-AS,ES12,Asturias,Pfizer/BioNTech,14080
2021-01-28,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,3295
2021-01-28,ES-CN,ES70,Canarias,Pfizer/BioNTech,6864
2021-01-28,ES-CB,ES13,Cantabria,Pfizer/BioNTech,782
2021-01-28,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,19658
2021-01-28,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,7628
2021-01-28,ES-CT,ES51,Cataluña,Pfizer/BioNTech,23262
2021-01-28,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,8948
2021-01-28,ES-EX,ES43,Extremadura,Pfizer/BioNTech,3135
2021-01-28,ES-GA,ES11,Galicia,Pfizer/BioNTech,15827
2021-01-28,ES-RI,ES23,La Rioja,Pfizer/BioNTech,1084
2021-01-28,ES-MD,ES30,Madrid,Pfizer/BioNTech,6987
2021-01-28,ES-MC,ES62,Murcia,Pfizer/BioNTech,8713
2021-01-28,ES-NC,ES22,Navarra,Pfizer/BioNTech,2797
2021-01-28,ES-PV,ES21,País Vasco,Pfizer/BioNTech,6906
2021-01-28,ES-CE,ES63,Ceuta,Pfizer/BioNTech,569
2021-01-28,ES-ML,ES64,Melilla,Pfizer/BioNTech,414
2021-01-29,ES-AN,ES61,Andalucía,Pfizer/BioNTech,67511
2021-01-29,ES-AR,ES24,Aragón,Pfizer/BioNTech,9752
2021-01-29,ES-AS,ES12,Asturias,Pfizer/BioNTech,16266
2021-01-29,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4369
2021-01-29,ES-CN,ES70,Canarias,Pfizer/BioNTech,8772
2021-01-29,ES-CB,ES13,Cantabria,Pfizer/BioNTech,924
2021-01-29,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,25020
2021-01-29,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,12486
2021-01-29,ES-CT,ES51,Cataluña,Pfizer/BioNTech,35424
2021-01-29,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,11317
2021-01-29,ES-EX,ES43,Extremadura,Pfizer/BioNTech,4460
2021-01-29,ES-GA,ES11,Galicia,Pfizer/BioNTech,20268
2021-01-29,ES-RI,ES23,La Rioja,Pfizer/BioNTech,1592
2021-01-29,ES-MD,ES30,Madrid,Pfizer/BioNTech,10595
2021-01-29,ES-MC,ES62,Murcia,Pfizer/BioNTech,9264
2021-01-29,ES-NC,ES22,Navarra,Pfizer/BioNTech,3535
2021-01-29,ES-PV,ES21,País Vasco,Pfizer/BioNTech,9052
2021-01-29,ES-CE,ES63,Ceuta,Pfizer/BioNTech,628
2021-01-29,ES-ML,ES64,Melilla,Pfizer/BioNTech,631
2021-02-01,ES-AN,ES61,Andalucía,Pfizer/BioNTech,78640
2021-02-01,ES-AR,ES24,Aragón,Pfizer/BioNTech,10364
2021-02-01,ES-AS,ES12,Asturias,Pfizer/BioNTech,19475
2021-02-01,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,4782
2021-02-01,ES-CN,ES70,Canarias,Pfizer/BioNTech,11501
2021-02-01,ES-CB,ES13,Cantabria,Pfizer/BioNTech,2737
2021-02-01,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,34446
2021-02-01,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,17460
2021-02-01,ES-CT,ES51,Cataluña,Pfizer/BioNTech,60676
2021-02-01,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,33395
2021-02-01,ES-EX,ES43,Extremadura,Pfizer/BioNTech,8646
2021-02-01,ES-GA,ES11,Galicia,Pfizer/BioNTech,27098
2021-02-01,ES-RI,ES23,La Rioja,Pfizer/BioNTech,2490
2021-02-01,ES-MD,ES30,Madrid,Pfizer/BioNTech,15837
2021-02-01,ES-MC,ES62,Murcia,Pfizer/BioNTech,11293
2021-02-01,ES-NC,ES22,Navarra,Pfizer/BioNTech,5281
2021-02-01,ES-PV,ES21,País Vasco,Pfizer/BioNTech,12277
2021-02-01,ES-CE,ES63,Ceuta,Pfizer/BioNTech,688
2021-02-01,ES-ML,ES64,Melilla,Pfizer/BioNTech,806
2021-02-02,ES-AN,ES61,Andalucía,Pfizer/BioNTech,90764
2021-02-02,ES-AR,ES24,Aragón,Pfizer/BioNTech,11119
2021-02-02,ES-AS,ES12,Asturias,Pfizer/BioNTech,19503
2021-02-02,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,5026
2021-02-02,ES-CN,ES70,Canarias,Pfizer/BioNTech,14647
2021-02-02,ES-CB,ES13,Cantabria,Pfizer/BioNTech,4261
2021-02-02,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,35051
2021-02-02,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,21360
2021-02-02,ES-CT,ES51,Cataluña,Pfizer/BioNTech,69431
2021-02-02,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,44979
2021-02-02,ES-EX,ES43,Extremadura,Pfizer/BioNTech,10776
2021-02-02,ES-GA,ES11,Galicia,Pfizer/BioNTech,29065
2021-02-02,ES-RI,ES23,La Rioja,Pfizer/BioNTech,3478
2021-02-02,ES-MD,ES30,Madrid,Pfizer/BioNTech,24312
2021-02-02,ES-MC,ES62,Murcia,Pfizer/BioNTech,12580
2021-02-02,ES-NC,ES22,Navarra,Pfizer/BioNTech,6320
2021-02-02,ES-PV,ES21,País Vasco,Pfizer/BioNTech,14059
2021-02-02,ES-CE,ES63,Ceuta,Pfizer/BioNTech,748
2021-02-02,ES-ML,ES64,Melilla,Pfizer/BioNTech,1040
2021-02-03,ES-AN,ES61,Andalucía,Pfizer/BioNTech,104529
2021-02-03,ES-AR,ES24,Aragón,Pfizer/BioNTech,15157
2021-02-03,ES-AS,ES12,Asturias,Pfizer/BioNTech,22227
2021-02-03,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,5262
2021-02-03,ES-CN,ES70,Canarias,Pfizer/BioNTech,17129
2021-02-03,ES-CB,ES13,Cantabria,Pfizer/BioNTech,5861
2021-02-03,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,40565
2021-02-03,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,24525
2021-02-03,ES-CT,ES51,Cataluña,Pfizer/BioNTech,80387
2021-02-03,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,58452
2021-02-03,ES-EX,ES43,Extremadura,Pfizer/BioNTech,13202
2021-02-03,ES-GA,ES11,Galicia,Pfizer/BioNTech,31725
2021-02-03,ES-RI,ES23,La Rioja,Pfizer/BioNTech,4301
2021-02-03,ES-MD,ES30,Madrid,Pfizer/BioNTech,35902
2021-02-03,ES-MC,ES62,Murcia,Pfizer/BioNTech,14117
2021-02-03,ES-NC,ES22,Navarra,Pfizer/BioNTech,7148
2021-02-03,ES-PV,ES21,País Vasco,Pfizer/BioNTech,16621
2021-02-03,ES-CE,ES63,Ceuta,Pfizer/BioNTech,806
2021-02-03,ES-ML,ES64,Melilla,Pfizer/BioNTech,1062
2021-02-04,ES-AN,ES61,Andalucía,Pfizer/BioNTech,117953
2021-02-04,ES-AR,ES24,Aragón,Pfizer/BioNTech,19535
2021-02-04,ES-AS,ES12,Asturias,Pfizer/BioNTech,25710
2021-02-04,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,7929
2021-02-04,ES-CN,ES70,Canarias,Pfizer/BioNTech,20260
2021-02-04,ES-CB,ES13,Cantabria,Pfizer/BioNTech,7122
2021-02-04,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,45682
2021-02-04,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,27691
2021-02-04,ES-CT,ES51,Cataluña,Pfizer/BioNTech,91724
2021-02-04,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,67840
2021-02-04,ES-EX,ES43,Extremadura,Pfizer/BioNTech,16996
2021-02-04,ES-GA,ES11,Galicia,Pfizer/BioNTech,37572
2021-02-04,ES-RI,ES23,La Rioja,Pfizer/BioNTech,5433
2021-02-04,ES-MD,ES30,Madrid,Pfizer/BioNTech,49470
2021-02-04,ES-MC,ES62,Murcia,Pfizer/BioNTech,16462
2021-02-04,ES-NC,ES22,Navarra,Pfizer/BioNTech,8008
2021-02-04,ES-PV,ES21,País Vasco,Pfizer/BioNTech,18773
2021-02-04,ES-CE,ES63,Ceuta,Pfizer/BioNTech,895
2021-02-04,ES-ML,ES64,Melilla,Pfizer/BioNTech,1067
2021-02-05,ES-AN,ES61,Andalucía,Pfizer/BioNTech,131693
2021-02-05,ES-AR,ES24,Aragón,Pfizer/BioNTech,23488
2021-02-05,ES-AS,ES12,Asturias,Pfizer/BioNTech,28740
2021-02-05,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,9922
2021-02-05,ES-CN,ES70,Canarias,Pfizer/BioNTech,24049
2021-02-05,ES-CB,ES13,Cantabria,Pfizer/BioNTech,8806
2021-02-05,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,56665
2021-02-05,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,30345
2021-02-05,ES-CT,ES51,Cataluña,Pfizer/BioNTech,107877
2021-02-05,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,75577
2021-02-05,ES-EX,ES43,Extremadura,Pfizer/BioNTech,21662
2021-02-05,ES-GA,ES11,Galicia,Pfizer/BioNTech,37720
2021-02-05,ES-RI,ES23,La Rioja,Pfizer/BioNTech,6521
2021-02-05,ES-MD,ES30,Madrid,Pfizer/BioNTech,67334
2021-02-05,ES-MC,ES62,Murcia,Pfizer/BioNTech,20388
2021-02-05,ES-NC,ES22,Navarra,Pfizer/BioNTech,9016
2021-02-05,ES-PV,ES21,País Vasco,Pfizer/BioNTech,21112
2021-02-05,ES-CE,ES63,Ceuta,Pfizer/BioNTech,921
2021-02-05,ES-ML,ES64,Melilla,Pfizer/BioNTech,1073
2021-02-08,ES-AN,ES61,Andalucía,Pfizer/BioNTech,143552
2021-02-08,ES-AR,ES24,Aragón,Pfizer/BioNTech,24380
2021-02-08,ES-AS,ES12,Asturias,Pfizer/BioNTech,31467
2021-02-08,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,13430
2021-02-08,ES-CN,ES70,Canarias,Pfizer/BioNTech,28158
2021-02-08,ES-CB,ES13,Cantabria,Pfizer/BioNTech,12427
2021-02-08,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,62928
2021-02-08,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,32129
2021-02-08,ES-CT,ES51,Cataluña,Pfizer/BioNTech,120742
2021-02-08,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,83171
2021-02-08,ES-EX,ES43,Extremadura,Pfizer/BioNTech,26605
2021-02-08,ES-GA,ES11,Galicia,Pfizer/BioNTech,51424
2021-02-08,ES-RI,ES23,La Rioja,Pfizer/BioNTech,7561
2021-02-08,ES-MD,ES30,Madrid,Pfizer/BioNTech,86645
2021-02-08,ES-MC,ES62,Murcia,Pfizer/BioNTech,24312
2021-02-08,ES-NC,ES22,Navarra,Pfizer/BioNTech,11439
2021-02-08,ES-PV,ES21,País Vasco,Pfizer/BioNTech,24002
2021-02-08,ES-CE,ES63,Ceuta,Pfizer/BioNTech,964
2021-02-08,ES-ML,ES64,Melilla,Pfizer/BioNTech,1071
2021-02-09,ES-AN,ES61,Andalucía,Pfizer/BioNTech,151577
2021-02-09,ES-AR,ES24,Aragón,Pfizer/BioNTech,25222
2021-02-09,ES-AS,ES12,Asturias,Pfizer/BioNTech,31944
2021-02-09,ES-IB,ES53,Islas Baleares,Pfizer/BioNTech,14072
2021-02-09,ES-CN,ES70,Canarias,Pfizer/BioNTech,29047
2021-02-09,ES-CB,ES13,Cantabria,Pfizer/BioNTech,13470
2021-02-09,ES-CL,ES41,Castilla y León,Pfizer/BioNTech,64568
2021-02-09,ES-CM,ES42,Castilla-La Mancha,Pfizer/BioNTech,33207
2021-02-09,ES-CT,ES51,Cataluña,Pfizer/BioNTech,129651
2021-02-09,ES-VC,ES52,Comunidad Valenciana,Pfizer/BioNTech,87353
2021-02-09,ES-EX,ES43,Extremadura,Pfizer/BioNTech,27390
2021-02-09,ES-GA,ES11,Galicia,Pfizer/BioNTech,54504
2021-02-09,ES-RI,ES23,La Rioja,Pfizer/BioNTech,7777
2021-02-09,ES-MD,ES30,Madrid,Pfizer/BioNTech,102204
2021-02-09,ES-MC,ES62,Murcia,Pfizer/BioNTech,25944
2021-02-09,ES-NC,ES22,Navarra,Pfizer/BioNTech,12509
2021-02-09,ES-PV,ES21,País Vasco,Pfizer/BioNTech,26299
2021-02-09,ES-CE,ES63,Ceuta,Pfizer/BioNTech,964
2021-02-09,ES-ML,ES64,Melilla,Pfizer/BioNTech,1080
2021-02-10,ES-AN,ES61,Andalucía,Unknown,159969
2021-02-10,ES-AR,ES24,Aragón,Unknown,29343
2021-02-10,ES-AS,ES12,Asturias,Unknown,32296
2021-02-10,ES-IB,ES53,Islas Baleares,Unknown,14564
2021-02-10,ES-CN,ES70,Canarias,Unknown,29967
2021-02-10,ES-CB,ES13,Cantabria,Unknown,14393
2021-02-10,ES-CL,ES41,Castilla y León,Unknown,69345
2021-02-10,ES-CM,ES42,Castilla-La Mancha,Unknown,35531
2021-02-10,ES-CT,ES51,Cataluña,Unknown,138400
2021-02-10,ES-VC,ES52,Comunidad Valenciana,Unknown,89522
2021-02-10,ES-EX,ES43,Extremadura,Unknown,28790
2021-02-10,ES-GA,ES11,Galicia,Unknown,54604
2021-02-10,ES-RI,ES23,La Rioja,Unknown,7997
2021-02-10,ES-MD,ES30,Madrid,Unknown,115535
2021-02-10,ES-MC,ES62,Murcia,Unknown,27799
2021-02-10,ES-NC,ES22,Navarra,Unknown,13286
2021-02-10,ES-PV,ES21,País Vasco,Unknown,26299
2021-02-10,ES-CE,ES63,Ceuta,Unknown,963
2021-02-10,ES-ML,ES64,Melilla,Unknown,1080
2021-02-11,ES-AN,ES61,Andalucía,Unknown,168087
2021-02-11,ES-AR,ES24,Aragón,Unknown,32986
2021-02-11,ES-AS,ES12,Asturias,Unknown,32706
2021-02-11,ES-IB,ES53,Islas Baleares,Unknown,15576
2021-02-11,ES-CN,ES70,Canarias,Unknown,29967
2021-02-11,ES-CB,ES13,Cantabria,Unknown,16259
2021-02-11,ES-CL,ES41,Castilla y León,Unknown,72444
2021-02-11,ES-CM,ES42,Castilla-La Mancha,Unknown,38191
2021-02-11,ES-CT,ES51,Cataluña,Unknown,146079
2021-02-11,ES-VC,ES52,Comunidad Valenciana,Unknown,90760
2021-02-11,ES-EX,ES43,Extremadura,Unknown,29776
2021-02-11,ES-GA,ES11,Galicia,Unknown,55082
2021-02-11,ES-RI,ES23,La Rioja,Unknown,8129
2021-02-11,ES-MD,ES30,Madrid,Unknown,128570
2021-02-11,ES-MC,ES62,Murcia,Unknown,29721
2021-02-11,ES-NC,ES22,Navarra,Unknown,14003
2021-02-11,ES-PV,ES21,País Vasco,Unknown,32897
2021-02-11,ES-CE,ES63,Ceuta,Unknown,963
2021-02-11,ES-ML,ES64,Melilla,Unknown,1082
2021-02-12,ES-AN,ES61,Andalucía,Unknown,176731
2021-02-12,ES-AR,ES24,Aragón,Unknown,35659
2021-02-12,ES-AS,ES12,Asturias,Unknown,32946
2021-02-12,ES-IB,ES53,Islas Baleares,Unknown,16683
2021-02-12,ES-CN,ES70,Canarias,Unknown,40779
2021-02-12,ES-CB,ES13,Cantabria,Unknown,17478
2021-02-12,ES-CL,ES41,Castilla y León,Unknown,75433
2021-02-12,ES-CM,ES42,Castilla-La Mancha,Unknown,41690
2021-02-12,ES-CT,ES51,Cataluña,Unknown,152091
2021-02-12,ES-VC,ES52,Comunidad Valenciana,Unknown,92433
2021-02-12,ES-EX,ES43,Extremadura,Unknown,30501
2021-02-12,ES-GA,ES11,Galicia,Unknown,55187
2021-02-12,ES-RI,ES23,La Rioja,Unknown,8365
2021-02-12,ES-MD,ES30,Madrid,Unknown,139553
2021-02-12,ES-MC,ES62,Murcia,Unknown,32249
