date,iso_code,nuts2,name,supplier,additional_dose
2021-10-21,ES-AS,ES12,Asturias,Unknown,12447
2021-10-21,ES-IB,ES53,Islas Baleares,Unknown,5939
2021-10-21,ES-CN,ES70,Canarias,Unknown,12465
2021-10-21,ES-CB,ES13,Cantabria,Unknown,7257
2021-10-21,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-21,ES-CM,ES42,Castilla-La Mancha,Unknown,20607
2021-10-21,ES-CT,ES51,Cataluña,Unknown,66732
2021-10-21,ES-VC,ES52,Comunidad Valenciana,Unknown,37865
2021-10-21,ES-EX,ES43,Extremadura,Unknown,17241
2021-10-21,ES-GA,ES11,Galicia,Unknown,25349
2021-10-21,ES-RI,ES23,La Rioja,Unknown,3353
2021-10-21,ES-MD,ES30,Madrid,Unknown,48669
2021-10-21,ES-MC,ES62,Murcia,Unknown,5486
2021-10-21,ES-NC,ES22,Navarra,Unknown,3167
2021-10-21,ES-PV,ES21,País Vasco,Unknown,13481
2021-10-21,ES-CE,ES63,Ceuta,Unknown,430
2021-10-21,ES-ML,ES64,Melilla,Unknown,204
2021-10-22,ES-AN,ES61,Andalucía,Unknown,94695
2021-10-22,ES-AR,ES24,Aragón,Unknown,17596
2021-10-22,ES-AS,ES12,Asturias,Unknown,13326
2021-10-22,ES-IB,ES53,Islas Baleares,Unknown,6127
2021-10-22,ES-CN,ES70,Canarias,Unknown,12710
2021-10-22,ES-CB,ES13,Cantabria,Unknown,7375
2021-10-22,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-22,ES-CM,ES42,Castilla-La Mancha,Unknown,21000
2021-10-22,ES-CT,ES51,Cataluña,Unknown,69457
2021-10-22,ES-VC,ES52,Comunidad Valenciana,Unknown,39075
2021-10-22,ES-EX,ES43,Extremadura,Unknown,17607
2021-10-22,ES-GA,ES11,Galicia,Unknown,25851
2021-10-22,ES-RI,ES23,La Rioja,Unknown,3414
2021-10-22,ES-MD,ES30,Madrid,Unknown,50717
2021-10-22,ES-MC,ES62,Murcia,Unknown,5919
2021-10-22,ES-NC,ES22,Navarra,Unknown,3176
2021-10-22,ES-PV,ES21,País Vasco,Unknown,13639
2021-10-22,ES-CE,ES63,Ceuta,Unknown,430
2021-10-22,ES-ML,ES64,Melilla,Unknown,204
2021-10-25,ES-AN,ES61,Andalucía,Unknown,94695
2021-10-25,ES-AR,ES24,Aragón,Unknown,19334
2021-10-25,ES-AS,ES12,Asturias,Unknown,13853
2021-10-25,ES-IB,ES53,Islas Baleares,Unknown,6349
2021-10-25,ES-CN,ES70,Canarias,Unknown,13069
2021-10-25,ES-CB,ES13,Cantabria,Unknown,7627
2021-10-25,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-25,ES-CM,ES42,Castilla-La Mancha,Unknown,22165
2021-10-25,ES-CT,ES51,Cataluña,Unknown,73718
2021-10-25,ES-VC,ES52,Comunidad Valenciana,Unknown,40404
2021-10-25,ES-EX,ES43,Extremadura,Unknown,18272
2021-10-25,ES-GA,ES11,Galicia,Unknown,26604
2021-10-25,ES-RI,ES23,La Rioja,Unknown,3547
2021-10-25,ES-MD,ES30,Madrid,Unknown,53500
2021-10-25,ES-MC,ES62,Murcia,Unknown,6184
2021-10-25,ES-NC,ES22,Navarra,Unknown,3252
2021-10-25,ES-PV,ES21,País Vasco,Unknown,14181
2021-10-25,ES-CE,ES63,Ceuta,Unknown,441
2021-10-25,ES-ML,ES64,Melilla,Unknown,204
2021-10-26,ES-AN,ES61,Andalucía,Unknown,94695
2021-10-26,ES-AR,ES24,Aragón,Unknown,19541
2021-10-26,ES-AS,ES12,Asturias,Unknown,14079
2021-10-26,ES-IB,ES53,Islas Baleares,Unknown,6384
2021-10-26,ES-CN,ES70,Canarias,Unknown,13307
2021-10-26,ES-CB,ES13,Cantabria,Unknown,7635
2021-10-26,ES-CL,ES41,Castilla y León,Unknown,62850
2021-10-26,ES-CM,ES42,Castilla-La Mancha,Unknown,22251
2021-10-26,ES-CT,ES51,Cataluña,Unknown,74316
2021-10-26,ES-VC,ES52,Comunidad Valenciana,Unknown,40978
2021-10-26,ES-EX,ES43,Extremadura,Unknown,18347
2021-10-26,ES-GA,ES11,Galicia,Unknown,26680
2021-10-26,ES-RI,ES23,La Rioja,Unknown,3603
2021-10-26,ES-MD,ES30,Madrid,Unknown,54584
2021-10-26,ES-MC,ES62,Murcia,Unknown,6209
2021-10-26,ES-NC,ES22,Navarra,Unknown,3282
2021-10-26,ES-PV,ES21,País Vasco,Unknown,14328
2021-10-26,ES-CE,ES63,Ceuta,Unknown,441
2021-10-26,ES-ML,ES64,Melilla,Unknown,218
2021-10-27,ES-AN,ES61,Andalucía,Unknown,94695
2021-10-27,ES-AR,ES24,Aragón,Unknown,19742
2021-10-27,ES-AS,ES12,Asturias,Unknown,14454
