date,iso_code,nuts2,name,supplier,one_dose
2021-01-27,ES-AS,ES12,Asturias,Unknown,35350
2021-01-27,ES-IB,ES53,Islas Baleares,Unknown,20489
2021-01-27,ES-CN,ES70,Canarias,Unknown,48219
2021-01-27,ES-CB,ES13,Cantabria,Unknown,20610
2021-01-27,ES-CL,ES41,Castilla y León,Unknown,85441
2021-01-27,ES-CM,ES42,Castilla-La Mancha,Unknown,61540
2021-01-27,ES-CT,ES51,Cataluña,Unknown,183224
2021-01-27,ES-VC,ES52,Comunidad Valenciana,Unknown,101150
2021-01-27,ES-EX,ES43,Extremadura,Unknown,34656
2021-01-27,ES-GA,ES11,Galicia,Unknown,58441
2021-01-27,ES-RI,ES23,La Rioja,Unknown,8934
2021-01-27,ES-MD,ES30,Madrid,Unknown,168483
2021-01-27,ES-MC,ES62,Murcia,Unknown,43504
2021-01-27,ES-NC,ES22,Navarra,Unknown,17516
2021-01-27,ES-PV,ES21,País Vasco,Unknown,44213
2021-01-27,ES-CE,ES63,Ceuta,Unknown,1326
2021-01-27,ES-ML,ES64,Melilla,Unknown,1299
2021-01-28,ES-AN,ES61,Andalucía,Unknown,210616
2021-01-28,ES-AR,ES24,Aragón,Unknown,42647
2021-01-28,ES-AS,ES12,Asturias,Unknown,35777
2021-01-28,ES-IB,ES53,Islas Baleares,Unknown,20245
2021-01-28,ES-CN,ES70,Canarias,Unknown,49521
2021-01-28,ES-CB,ES13,Cantabria,Unknown,20687
2021-01-28,ES-CL,ES41,Castilla y León,Unknown,88545
2021-01-28,ES-CM,ES42,Castilla-La Mancha,Unknown,63856
2021-01-28,ES-CT,ES51,Cataluña,Unknown,184915
2021-01-28,ES-VC,ES52,Comunidad Valenciana,Unknown,100768
2021-01-28,ES-EX,ES43,Extremadura,Unknown,36686
2021-01-28,ES-GA,ES11,Galicia,Unknown,58451
2021-01-28,ES-RI,ES23,La Rioja,Unknown,9199
2021-01-28,ES-MD,ES30,Madrid,Unknown,170985
2021-01-28,ES-MC,ES62,Murcia,Unknown,44734
2021-01-28,ES-NC,ES22,Navarra,Unknown,18210
2021-01-28,ES-PV,ES21,País Vasco,Unknown,44530
2021-01-28,ES-CE,ES63,Ceuta,Unknown,1188
2021-01-28,ES-ML,ES64,Melilla,Unknown,1299
2021-01-29,ES-AN,ES61,Andalucía,Unknown,215484
2021-01-29,ES-AR,ES24,Aragón,Unknown,44185
2021-01-29,ES-AS,ES12,Asturias,Unknown,36653
2021-01-29,ES-IB,ES53,Islas Baleares,Unknown,20672
2021-01-29,ES-CN,ES70,Canarias,Unknown,51408
2021-01-29,ES-CB,ES13,Cantabria,Unknown,20717
2021-01-29,ES-CL,ES41,Castilla y León,Unknown,89723
2021-01-29,ES-CM,ES42,Castilla-La Mancha,Unknown,65279
2021-01-29,ES-CT,ES51,Cataluña,Unknown,187148
2021-01-29,ES-VC,ES52,Comunidad Valenciana,Unknown,100955
2021-01-29,ES-EX,ES43,Extremadura,Unknown,37501
2021-01-29,ES-GA,ES11,Galicia,Unknown,58504
2021-01-29,ES-RI,ES23,La Rioja,Unknown,9228
2021-01-29,ES-MD,ES30,Madrid,Unknown,172863
2021-01-29,ES-MC,ES62,Murcia,Unknown,45818
2021-01-29,ES-NC,ES22,Navarra,Unknown,18895
2021-01-29,ES-PV,ES21,País Vasco,Unknown,44787
2021-01-29,ES-CE,ES63,Ceuta,Unknown,1200
2021-01-29,ES-ML,ES64,Melilla,Unknown,1303
2021-02-01,ES-AN,ES61,Andalucía,Unknown,221152
2021-02-01,ES-AR,ES24,Aragón,Unknown,44928
2021-02-01,ES-AS,ES12,Asturias,Unknown,38637
2021-02-01,ES-IB,ES53,Islas Baleares,Unknown,20777
2021-02-01,ES-CN,ES70,Canarias,Unknown,52974
2021-02-01,ES-CB,ES13,Cantabria,Unknown,20889
2021-02-01,ES-CL,ES41,Castilla y León,Unknown,89779
2021-02-01,ES-CM,ES42,Castilla-La Mancha,Unknown,67145
2021-02-01,ES-CT,ES51,Cataluña,Unknown,195879
2021-02-01,ES-VC,ES52,Comunidad Valenciana,Unknown,102714
2021-02-01,ES-EX,ES43,Extremadura,Unknown,38696
2021-02-01,ES-GA,ES11,Galicia,Unknown,58620
2021-02-01,ES-RI,ES23,La Rioja,Unknown,9300
2021-02-01,ES-MD,ES30,Madrid,Unknown,175106
2021-02-01,ES-MC,ES62,Murcia,Unknown,47444
2021-02-01,ES-NC,ES22,Navarra,Unknown,19835
2021-02-01,ES-PV,ES21,País Vasco,Unknown,44985
2021-02-01,ES-CE,ES63,Ceuta,Unknown,1202
2021-02-01,ES-ML,ES64,Melilla,Unknown,1307
2021-02-02,ES-AN,ES61,Andalucía,Unknown,222522
2021-02-02,ES-AR,ES24,Aragón,Unknown,45363
2021-02-02,ES-AS,ES12,Asturias,Unknown,38674
2021-02-02,ES-IB,ES53,Islas Baleares,Unknown,20937
2021-02-02,ES-CN,ES70,Canarias,Unknown,53136
2021-02-02,ES-CB,ES13,Cantabria,Unknown,20806
2021-02-02,ES-CL,ES41,Castilla y León,Unknown,91311
2021-02-02,ES-CM,ES42,Castilla-La Mancha,Unknown,67528
2021-02-02,ES-CT,ES51,Cataluña,Unknown,192131
2021-02-02,ES-VC,ES52,Comunidad Valenciana,Unknown,102966
2021-02-02,ES-EX,ES43,Extremadura,Unknown,38927
2021-02-02,ES-GA,ES11,Galicia,Unknown,58671
2021-02-02,ES-RI,ES23,La Rioja,Unknown,9737
2021-02-02,ES-MD,ES30,Madrid,Unknown,175183
2021-02-02,ES-MC,ES62,Murcia,Unknown,48151
2021-02-02,ES-NC,ES22,Navarra,Unknown,20459
2021-02-02,ES-PV,ES21,País Vasco,Unknown,45523
2021-02-02,ES-CE,ES63,Ceuta,Unknown,1202
2021-02-02,ES-ML,ES64,Melilla,Unknown,1308
2021-02-03,ES-AN,ES61,Andalucía,Unknown,224729
2021-02-03,ES-AR,ES24,Aragón,Unknown,45879
2021-02-03,ES-AS,ES12,Asturias,Unknown,39256
2021-02-03,ES-IB,ES53,Islas Baleares,Unknown,20978
2021-02-03,ES-CN,ES70,Canarias,Unknown,53665
2021-02-03,ES-CB,ES13,Cantabria,Unknown,20857
2021-02-03,ES-CL,ES41,Castilla y León,Unknown,91931
2021-02-03,ES-CM,ES42,Castilla-La Mancha,Unknown,68177
2021-02-03,ES-CT,ES51,Cataluña,Unknown,193337
2021-02-03,ES-VC,ES52,Comunidad Valenciana,Unknown,104111
2021-02-03,ES-EX,ES43,Extremadura,Unknown,39678
2021-02-03,ES-GA,ES11,Galicia,Unknown,58918
2021-02-03,ES-RI,ES23,La Rioja,Unknown,9817
2021-02-03,ES-MD,ES30,Madrid,Unknown,175955
2021-02-03,ES-MC,ES62,Murcia,Unknown,48891
2021-02-03,ES-NC,ES22,Navarra,Unknown,21051
2021-02-03,ES-PV,ES21,País Vasco,Unknown,46058
2021-02-03,ES-CE,ES63,Ceuta,Unknown,1202
2021-02-03,ES-ML,ES64,Melilla,Unknown,1310
2021-02-04,ES-AN,ES61,Andalucía,Unknown,227695
2021-02-04,ES-AR,ES24,Aragón,Unknown,46444
2021-02-04,ES-AS,ES12,Asturias,Unknown,39591
2021-02-04,ES-IB,ES53,Islas Baleares,Unknown,21437
2021-02-04,ES-CN,ES70,Canarias,Unknown,55074
2021-02-04,ES-CB,ES13,Cantabria,Unknown,20867
2021-02-04,ES-CL,ES41,Castilla y León,Unknown,93174
2021-02-04,ES-CM,ES42,Castilla-La Mancha,Unknown,69662
2021-02-04,ES-CT,ES51,Cataluña,Unknown,194105
2021-02-04,ES-VC,ES52,Comunidad Valenciana,Unknown,104914
2021-02-04,ES-EX,ES43,Extremadura,Unknown,39843
2021-02-04,ES-GA,ES11,Galicia,Unknown,59078
2021-02-04,ES-RI,ES23,La Rioja,Unknown,9941
2021-02-04,ES-MD,ES30,Madrid,Unknown,176604
2021-02-04,ES-MC,ES62,Murcia,Unknown,49899
2021-02-04,ES-NC,ES22,Navarra,Unknown,21946
2021-02-04,ES-PV,ES21,País Vasco,Unknown,46421
2021-02-04,ES-CE,ES63,Ceuta,Unknown,1209
2021-02-04,ES-ML,ES64,Melilla,Unknown,1316
2021-02-05,ES-AN,ES61,Andalucía,Unknown,231789
2021-02-05,ES-AR,ES24,Aragón,Unknown,49168
